ISRC,UPC,track_name,album_name,artist_name,country,platform,report_month,streams,revenue,currency
INN892300159,8905900539693,Mona Ghamana,Mona Ghamana,Amrit Koch  Sumitra Rabha,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892300441,8909040291978,Kubage Saleo Moi,Kubage Saleo Moi,Ajoy Hajong  Dingkw Rani  Hiteswar Hajong,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892400425,8909225586370,Nachibo Jhumuri,Nachibo Jhumuri,Koushik Sonowal  Sameer Nayan  UMA TANTI,IN,JioSaavn,01-06-2025,3,0.27829372,INR
INN892300037,8905778911966,O Chingri,O Chingri,Anuranjan Hajong,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892300028,8905778860554,Tola Dhok Kayu Nai,Tola Dhok Kayu Nai,Anuranjan Hajong,IN,JioSaavn,01-06-2025,5,0.23375,INR
INN892300115,8905900306011,Guwahati Jabo Moi,Guwahati Jabo Moi,Dingkhw Rani  Heteswar Hajong,IN,JioSaavn,01-06-2025,5,0.23375,INR
INN892400242,8909091433402,Cherrapunji Saba,Cherrapunji Saba,Kapila Basumatary  Suman Hajong,IN,JioSaavn,01-06-2025,4,0.187,INR
INN892400450,8905574466875,LAL PARI,LAL PARI,Abhimanyu Man  Jyotika Boruah  Suraj Kumar,IN,JioSaavn,01-06-2025,2,0.0935,INR
INN892300372,8905992838582,Pakhila,Pakhila,Dhruba Madu  Papari Medhi,IN,JioSaavn,01-06-2025,1,0.18479372,INR
INN892300030,8905778860868,Sukti Sali,Sukti Sali,Anuranjan Hajong,IN,JioSaavn,01-06-2025,4,0.73917489,INR
INN892300411,8909040234098,Tor Bina 2,Tor Bina 2,Rupali Kurmi  Suraj Kumar,IN,JioSaavn,01-06-2025,7,0.32725,INR
INN892200211,8905778462604,Pote Pote Jai Moi (feat. Krishna Hajong),Pote Pote Jai Moi,Punam Kr Hajong,IN,JioSaavn,01-06-2025,21,1.92468106,INR
INN892500072,8909225965298,Soranaavadi Songon,Soranaavadi Songon,Kapila Basumatary,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892300025,8905778854478,Naam Najane Ola,Naam Najane Ola,Anuranjan Hajong,IN,JioSaavn,01-06-2025,2,0.0935,INR
IIN892300038,8905778911959,Sidhi Sadhi Crush,Sidhi Sadhi Crush,Anuranjan Hajong,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892300027,8905778854492,Garobada Bazar Nike,Garobada Bazar Nike,Anuranjan Hajong,IN,JioSaavn,01-06-2025,92,4.34333745,INR
INN892500049,8909225851621,Si:jon Ajon,Si:jon Ajon,Monuj Mili,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892500046,8909225851591,Sisang Ayang,Sisang Ayang,Mousam Gogoi  Rupa Mili,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892500050,8909225851645,Oiya Kangkan Kayum,Avn Ajon,Ajit Taye  Brishtirekha,IN,JioSaavn,01-06-2025,1,0.18479372,INR
INN892500140,8909352437637,Medir,Podong,Tonki Pegu,IN,JioSaavn,01-06-2025,2,0.0935,INR
INN892500048,8909225851645,Disangmukh Sapori,Avn Ajon,Brishtirekha  Monuj Mili,IN,JioSaavn,01-06-2025,3,0.14025,INR
INN892500042,8909225851553,Asi Toko,Asi Toko,Tonki Pegu,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892500051,8909225851645,Punsane Appun,Avn Ajon,Tarulata Kutum,IN,JioSaavn,01-06-2025,6,0.2805,INR
INN892500052,8909225851645,Picnic Dokol,Avn Ajon,Montu Taye  Tarulata Kutum,IN,JioSaavn,01-06-2025,4,0.187,INR
INN892500045,8909225851584,Mising Rngam,Mising Rngam,MRINAL DOLEY,IN,JioSaavn,01-06-2025,3,0.116875,INR
INN892500043,8909225851560,Asin Otildung,Asin Otildung,Sarbeswar Kardong,IN,JioSaavn,01-06-2025,2,0.0935,INR
